id;Severity;age_classes;day_week;hour;impact1_classes;make;man_coll;month;speed_classes;rest_use;reljct2
1135;1;7;4;19;5;2.0;1;5;4;3.0;5
1136;1;10;5;13;13;7.0;2;5;5;1.0;1
1137;1;4;6;16;13;4.0;4;1;4;1.0;2
1140;1;4;1;4;13;4.0;2;6;8;1.0;1
1141;1;3;1;22;13;4.0;2;6;6;1.0;2
1142;1;3;3;20;13;4.0;2;5;5;1.0;1
1144;1;4;4;20;13;2.0;1;5;4;3.0;1
1145;1;7;7;18;1;2.0;1;2;4;3.0;1
1148;0;9;6;22;13;7.0;4;2;5;3.0;2
1150;1;6;1;1;1;2.0;1;2;5;3.0;2
1154;0;6;2;19;13;10.0;4;5;5;1.0;8
1155;1;9;1;15;4;1.0;4;5;3;1.0;2
1157;1;8;2;18;1;7.0;1;5;3;3.0;1
1158;1;6;4;16;13;7.0;4;6;4;3.0;2
1161;1;10;6;21;13;7.0;4;6;4;3.0;2
1163;1;4;1;19;1;2.0;2;6;5;1.0;1
1165;0;3;1;6;1;8.0;1;6;4;3.0;1
1166;1;9;2;19;7;7.0;2;6;4;3.0;1
1167;1;12;3;12;4;4.0;4;6;2;3.0;2
1171;0;8;7;24;13;7.0;1;6;4;3.0;1
1175;0;4;2;21;13;4.0;4;4;7;1.0;2
1176;0;3;7;16;13;10.0;4;4;3;3.0;2
1178;0;7;2;24;13;7.0;3;6;4;3.0;1
1180;0;11;6;16;13;7.0;4;6;4;3.0;2
1184;0;4;3;7;1;10.0;1;6;3;1.0;8
1186;1;9;1;10;13;6.0;2;6;5;1.0;1
1187;1;4;4;20;13;10.0;4;6;4;1.0;2
1188;0;9;5;21;13;7.0;4;6;4;3.0;2
1189;1;13;1;19;13;4.0;1;3;4;1.0;2
1190;1;4;5;2;13;4.0;2;4;7;3.0;1
1191;1;4;4;11;13;10.0;4;4;4;1.0;2
1192;0;5;4;7;13;4.0;4;6;3;1.0;2
1194;1;7;5;19;5;2.0;4;6;4;3.0;1
1195;0;4;1;3;13;10.0;1;6;5;1.0;1
1197;0;8;5;9;13;7.0;2;3;4;3.0;4
1200;0;10;1;24;13;2.0;3;4;3;3.0;3
1201;0;7;4;20;13;8.0;4;6;5;1.0;2
1202;1;6;1;20;1;2.0;1;6;5;3.0;1
1204;1;4;4;22;13;8.0;1;5;5;1.0;1
1207;0;2;3;3;13;2.0;4;7;4;3.0;2
1208;1;7;4;10;22;7.0;5;5;3;3.0;2
1209;0;7;1;22;7;7.0;2;7;2;3.0;3
1212;0;7;1;24;13;8.0;4;6;3;3.0;2
1213;0;4;2;21;13;8.0;4;7;4;1.0;2
1215;0;2;1;3;13;2.0;4;7;6;1.0;2
1217;1;7;5;23;13;7.0;1;5;4;3.0;1
1218;1;5;6;16;13;4.0;1;5;5;1.0;2
1219;0;7;4;17;13;4.0;2;6;4;3.0;1
1220;0;7;1;7;1;2.0;1;7;4;1.0;1
1221;0;4;1;23;13;2.0;4;7;4;1.0;2
1224;0;7;7;16;3;4.0;4;7;4;1.0;2
1226;0;10;1;15;13;7.0;4;7;4;1.0;2
1227;1;8;5;15;13;7.0;3;5;4;3.0;2
1228;1;6;5;21;1;2.0;1;7;4;3.0;1
1229;1;3;2;14;13;2.0;2;7;5;3.0;1
1230;1;3;1;1;13;10.0;2;7;4;1.0;3
1232;0;4;1;13;1;2.0;1;7;3;3.0;8
1233;1;4;5;10;13;4.0;1;7;5;1.0;2
1238;1;7;5;17;11;10.0;4;6;2;3.0;8
1239;0;8;1;22;1;7.0;1;7;4;3.0;1
1242;0;9;2;11;7;7.0;2;7;2;3.0;1
1245;0;5;3;6;13;4.0;4;8;5;2.0;2
1246;1;4;2;8;13;10.0;4;8;4;1.0;2
1248;1;8;1;15;13;2.0;2;8;4;3.0;1
1249;1;11;7;7;3;10.0;1;4;4;1.0;2
1251;1;8;5;14;13;7.0;2;7;4;3.0;1
1252;1;10;6;10;13;7.0;2;2;3;3.0;1
1253;1;4;6;16;13;4.0;4;5;3;3.0;8
1254;0;4;6;23;21;4.0;1;7;5;3.0;5
1257;1;7;1;16;13;7.0;2;8;5;3.0;1
1262;1;8;1;12;13;7.0;4;7;4;3.0;2
1264;0;7;7;11;13;2.0;4;7;4;1.0;1
1265;0;3;6;10;13;10.0;1;8;4;1.0;1
1266;1;8;5;8;7;10.0;2;8;2;1.0;2
