id;SEVERITY_classes;age_classes;day_week;DEFORMED_classes;m_harm_classes;hour;impact1_classes;lgt_cond;make;man_coll;month;p_crash1;pcrash4;pcrash5;rel_road;reljct1;reljct2;rest_use;sex;speedrel_classes;typ_int;valign;ve_total;vnum_lan;vsurcond;vtrafway;weather_classes
12015;1;9;4;4;1;15;2;1;7.0;4;2;1;2;2;1;0;2;3.0;1.0;0;2;2;2;3;2;2;1
13334;0;5;1;4;1;10;13;1;7.0;4;6;1;2;2;1;0;4;3.0;1.0;0;1;2;2;3;2;2;1
22942;0;4;5;2;1;18;2;1;7.0;5;6;7;2;2;1;0;1;3.0;1.0;0;1;2;2;3;2;2;1
1265;0;3;6;4;1;10;13;1;10.0;1;8;1;3;3;4;0;1;1.0;1.0;0;1;2;1;3;2;2;1
6622;1;8;1;3;3;12;13;1;2.0;1;11;8;2;3;4;0;1;1.0;1.0;0;1;4;1;3;2;2;1
29559;0;4;6;4;1;16;13;1;4.0;4;1;1;2;2;1;0;2;3.0;1.0;0;2;2;2;3;2;2;1
2255;1;10;4;4;1;13;13;1;2.0;4;2;1;2;2;1;0;2;2.0;1.0;1;3;2;2;3;2;2;1
17043;1;3;1;4;1;12;13;1;4.0;2;8;1;2;2;1;0;1;3.0;1.0;1;1;2;2;3;2;3;1
20268;0;9;3;2;5;16;1;1;7.0;1;9;1;3;2;1;0;2;2.0;1.0;0;2;2;1;5;9;2;1
36129;0;6;5;2;1;16;13;1;4.0;4;10;1;2;2;1;0;2;4.0;1.0;0;2;2;2;6;2;5;1
13740;0;5;1;4;5;14;1;1;7.0;1;7;1;2;2;1;0;1;3.0;1.0;0;1;2;2;3;2;3;1
12440;1;9;7;4;1;14;13;1;7.0;2;9;1;2;2;1;0;1;2.0;1.0;0;1;2;4;3;2;2;1
474;0;6;5;4;3;3;1;2;4.0;1;5;8;2;5;1;0;1;3.0;1.0;0;1;3;1;2;2;3;1
15521;0;10;4;4;5;10;1;1;10.0;1;5;1;3;2;1;0;1;2.0;1.0;1;1;2;2;3;2;2;1
31384;1;3;3;2;1;15;13;1;2.0;2;9;2;2;2;1;0;1;4.0;1.0;0;1;2;2;4;2;4;1
7831;1;7;4;4;1;16;13;1;10.0;4;9;7;2;2;1;0;2;1.0;1.0;0;3;2;2;3;2;4;1
27363;1;4;5;4;1;17;13;3;3.0;4;12;2;2;2;1;0;8;2.0;1.0;1;1;5;2;3;3;3;1
30411;1;4;5;2;1;16;13;1;8.0;4;5;1;2;2;1;0;2;3.0;1.0;0;2;2;2;3;2;2;1
24707;0;10;5;4;1;11;13;1;7.0;2;9;1;2;2;1;0;1;3.0;1.0;0;1;2;2;5;2;2;1
17454;0;7;2;4;1;16;13;1;7.0;2;7;1;2;2;1;0;1;2.0;1.0;0;1;2;2;4;2;2;1
5463;1;4;1;4;1;13;13;1;4.0;1;4;8;2;2;1;0;1;2.0;1.0;0;1;4;4;3;2;2;1
11511;1;10;6;4;5;18;1;1;2.0;1;4;1;2;2;1;0;1;3.0;1.0;0;1;2;1;4;2;4;1
5034;0;4;5;4;1;7;13;1;4.0;4;5;1;2;2;1;0;8;1.0;1.0;1;1;2;2;3;2;2;1
18978;0;3;7;4;1;1;7;2;2.0;2;10;1;2;2;1;0;1;3.0;2.0;0;1;2;2;3;2;3;1
16431;1;3;4;4;3;22;13;3;4.0;1;11;8;2;3;4;0;1;1.0;1.0;1;1;3;1;3;2;2;1
10290;0;10;1;3;4;12;7;1;7.0;1;4;8;2;3;4;0;2;3.0;1.0;1;4;4;1;3;2;2;1
8789;1;7;6;4;5;16;1;1;2.0;3;7;8;2;2;1;0;1;2.0;1.0;0;1;4;7;3;2;2;1
20915;0;7;2;1;1;5;13;3;2.0;2;9;8;2;2;1;0;2;1.0;1.0;0;2;2;2;4;2;6;1
10560;1;6;6;4;1;24;13;3;7.0;4;7;1;2;2;1;0;2;2.0;1.0;0;3;2;2;4;2;2;1
9749;1;7;5;4;4;19;12;1;7.0;1;7;8;2;3;4;0;1;1.0;1.0;1;1;3;1;3;2;2;1
16692;1;6;1;4;5;16;13;1;7.0;2;11;1;2;2;1;0;1;3.0;1.0;0;1;2;2;5;2;5;1
36687;0;4;1;4;5;4;1;3;2.0;1;6;8;3;2;1;0;8;3.0;1.0;1;1;1;1;1;1;1;1
1625;0;3;4;4;1;18;13;5;10.0;4;1;8;2;2;1;0;2;3.0;1.0;1;3;3;2;3;2;3;1
5790;0;3;2;1;1;24;13;3;2.0;1;12;1;2;2;1;0;1;2.0;1.0;0;1;2;1;5;2;5;1
9792;1;6;7;4;1;13;13;1;7.0;4;10;1;2;2;1;0;2;1.0;1.0;1;3;2;2;5;2;4;1
12007;1;7;7;4;1;19;13;3;7.0;2;1;1;2;2;1;0;3;3.0;1.0;0;3;2;2;3;2;3;1
17679;1;4;5;4;1;17;13;2;8.0;4;11;1;2;2;1;0;2;1.0;1.0;1;2;2;3;3;2;2;1
400;1;5;6;4;1;10;13;1;4.0;1;3;7;2;3;4;0;1;2.0;1.0;0;1;2;2;5;2;2;1
