id;Severity;age_classes;day_week;DEFORMED_classes;hour;impact1_classes;make;man_coll;month;reljct2;rest_use;vnum_lan;vtrafway
24366;0;3;6;2;19;13;1.0;2;4;3;1.0;3;2
22256;0;5;2;4;16;7;10.0;2;3;3;1.0;3;4
3253;0;6;7;4;23;13;2.0;1;12;1;1.0;3;2
15116;1;6;5;3;22;1;4.0;1;11;1;1.0;3;2
819;0;6;6;4;20;13;2.0;4;4;2;1.0;4;4
7284;1;2;5;4;23;13;8.0;1;9;1;2.0;3;2
19036;0;7;4;4;21;13;7.0;4;5;2;1.0;7;2
20249;0;4;3;2;13;13;8.0;4;7;8;2.0;1;1
9266;1;3;7;4;22;13;2.0;4;5;8;2.0;7;5
4533;0;8;3;2;21;13;7.0;1;8;13;3.0;5;7
7524;1;7;7;4;20;13;7.0;1;4;1;1.0;3;2
7904;0;8;7;4;18;13;7.0;3;5;1;1.0;3;2
2615;1;10;6;4;11;13;7.0;3;8;2;1.0;3;5
36482;0;5;1;2;12;1;7.0;1;3;1;4.0;3;2
17415;1;9;6;2;10;13;7.0;2;8;12;2.0;4;4
20992;1;10;7;2;11;10;2.0;5;12;2;1.0;3;2
25312;1;6;6;4;6;13;7.0;2;10;5;2.0;2;7
29732;0;6;3;4;16;13;10.0;4;5;8;1.0;3;3
5483;1;3;3;4;22;13;4.0;4;5;8;2.0;3;3
15374;1;8;4;4;17;21;7.0;5;1;1;2.0;4;4
5109;1;8;7;4;22;13;7.0;4;4;2;3.0;3;2
15283;0;5;4;4;16;13;2.0;4;12;2;1.0;4;3
18292;0;11;3;4;12;13;2.0;2;8;3;1.0;3;4
34151;0;7;6;4;11;1;7.0;1;6;1;3.0;3;4
8490;1;9;3;4;16;7;7.0;2;5;1;3.0;3;3
25320;1;3;7;4;16;13;10.0;4;11;8;3.0;4;3
11836;0;3;2;4;11;13;4.0;4;10;8;2.0;3;2
31582;0;5;6;2;14;11;2.0;5;1;1;1.0;4;4
30606;0;3;3;4;16;10;8.0;5;10;1;3.0;4;4
11727;1;7;1;4;16;2;7.0;1;6;1;3.0;3;2
31335;1;7;6;3;21;13;8.0;4;8;8;3.0;1;1
12575;0;7;2;4;10;13;7.0;1;9;1;1.0;3;2
10534;0;4;3;4;20;1;8.0;1;7;3;2.0;3;4
22484;1;10;1;3;16;1;7.0;1;10;1;3.0;3;2
22381;0;9;2;3;24;18;2.0;5;9;1;3.0;5;6
